Company,Category,Example_Name,X_external,Y_external,X_screw,Y_screw,Z_Jack,Y_Jack,
Name,,Name,"inch, horizontal, L","inch, vertical, H","inch, horizontal, L","inch, horizontal, H",inch from bottom,inch from top,
Boss,Boss_dual,RC30,6.65,5.9,6.1,5.2,,,
Boss,Boss_compact,V0-1,2.75,4.75,2.2,4.35,1.15,-2,
TC,TC_mini,Polytune2,1.67,3.6,1.2,3.16,0.65,-2.35,
TC,TC_x4,FlashbackX4,9.2,5.4,8.3,4.7,0.55,TOP,
TC,TC_standard,Flashback,2.57,4.77,2,4.17,0.62,"-2.4, -3.1",
Ibanez,Ibanez_compact,TS9,2.625,4.87,2.17,NO LOWER,1.275,-2.15,
Keely,Keely_standard,SuperPhatMod,2.39,4.43,1.98,3.99,0.63,-2.3,NOTE: Fixed X_screw = 1.98 from 2.98 (didn't make sense)
JHS,JHS_standard,PulpNPeel,2.64,4.82,2.25,4.4,0.97,-3.2,
EarthQuaker,EQ_standard,DispatchMaster,2.625,4.835,2.235,4.41,0.7,TOP,
EarthQuaker,EQ_med,AvalancheRun,4.22,4.71,4.3,4.81,0.74,TOP+SIDE,NOTE: HAD TO SWAP X_screw and Y_screw (didn't match with external dimensions)
EHX,EHX_med,C9,3.68,4.6685,3.3,4.31,0.525,"-2.3, -3.02",
EHX,EHX_small,HolyGrailNano,2.38,4.39,2,3.98,0.4,-2.2,
EHX,EHX_large,StereoHazari,5.71,4.76,5.3,4.325,0.62,"-2.37, -3.14",
Seymour Duncan,SeymourDuncan_standard,VaporTrails,2.61,4.9,,,,,
Seymour Duncan,SeymourDuncan_large,Palladium,5.6,4.63,,,,,
BBE,BBE_Standard,Soul Vibe,3.7,4.7,,,,,
Ampeg,Ampeg_std,Classic Analog Bass Preamp,2.6,4.5,,,,,
Korg,Korg_ptchblk,Pitchblack tuner,2.68,4.72,,,,,
Fulltone,Fulldrive3,Fulldrive 3,5.17,4.26,,,,,
ProCo,proco_rat,RAT,3.5,4.1,,,,,
JHS,JHS_med,VCR,3.65,4.65,,,,,
Fulltone,fulltone2B,2B,2.1,4.5,,,,,
Digitech,digitech_trio,Trio+,5.4,4.25,,,,,
Digitech,digitech_standard,Polara,2.65,4.4,,,,,
Digitech,digitech_boxed,Whammy Ricochet,2.875,4.75,,,,,
Digitech,digitech_normal,Jam Man Express XT,2.75,4.5,,,,,
Digitech,digitech_whammy5,Whammy V5,,,,,,,
Boss,Boss_triple,DD-500,6.75,5.4375,,,,,
EarthQuaker,EQ_large,Palisades,5.65,4.75,,,,,
Eventide,Eventide_H9,H9,4.65,5.25,,,,,
Way Huge,WayHuge_standard,Swollen Pickle,3.75,4.78125,,,,,
Fender,Fender_standard,Mirror Image Delay,3.75,4.9,,,,,
Tech 21,SansampDI,Sansamp Para Driver DI,4.75,3.75,,,,,
Ibanez,Ibanez_mini,ADMINI,2,3.65,,,,,