Gen.Freq,Anlr.Level A
Source 1,Data 1
Hz,dBu
30000,-0.04450608327
25550,-0.0310708298
21775,-0.02659702612
18557.5,-0.02212552557
15810,-0.02212552557
13472.5,-0.02212552557
11477.5,-0.01765632576
9780,-0.01318942433
8332.5,-0.01765632576
7100,-0.01765632576
6050,-0.01765632576
5155,-0.01765632576
4392.5,-0.01318942433
3742.5,-0.01765632576
3187.5,-0.01765632576
2717.5,-0.01765632576
2315,-0.02212552557
1972,-0.01765632576
1680.25,-0.01765632576
1431.5,-0.01765632576
1219.75,-0.01318942433
1039.25,-0.01765632576
885.5,-0.01765632576
754.5,-0.01765632576
642.75,-0.01765632576
547.75,-0.01765632576
466.75,-0.02212552557
397.75,-0.02212552557
338.75,-0.02212552557
288.75,-0.02212552557
246,-0.02659702612
209.5,-0.02212552557
178.55,-0.02212552557
152.125,-0.008724818916
129.625,0.0001975132889
110.45,-0.008724818916
94.1,-0.01318942433
80.175,-0.008724818916
68.325,-0.01318942433
58.2,-0.01095683477
49.6,-0.01542258789
42.25,-0.02883363992
36,-0.01095683477
30.675,-0.01542258789
26.125,-0.01765632576
22.275,-0.02212552557
18.975,-0.02771526103
16.175,-0.01486424317
13.775,-0.02156674982
11.725,-0.08944094623
10,-0.06020685642